Date,Description,Amount
2026-01-01,Virement Salaire Entreprise XYZ,3200.00
2026-01-03,Loyer Janvier,-900.00
2026-01-04,Carrefour Market,-87.50
2026-01-06,RATP Navigo Mensuel,-86.40
2026-01-08,Netflix Abonnement,-15.99
2026-01-10,Restaurant Le Bistrot,-42.00
2026-01-12,Pharmacie Centrale,-18.50
2026-01-14,Lidl Courses,-54.20
2026-01-15,Amazon Commande,-67.90
2026-01-18,EDF Electricite,-75.00
2026-01-20,Spotify Premium,-9.99
2026-01-22,Boulangerie du Coin,-12.00
2026-01-25,Decathlon Sport,-89.00
2026-01-28,Frais Bancaires CIC,-5.00
2026-02-01,Virement Salaire Entreprise XYZ,3200.00
2026-02-03,Loyer Fevrier,-900.00
2026-02-05,Monoprix Supermarche,-112.30
2026-02-07,SNCF Billet Paris-Lyon,-45.00
2026-02-09,Uber Eats Livraison,-28.50
2026-02-10,Netflix Abonnement,-15.99
2026-02-12,Medecin Generaliste,-25.00
2026-02-14,Restaurant Valentine,-95.00
2026-02-16,Intermarche Courses,-68.40
2026-02-19,Zara Vetements,-110.00
2026-02-20,Spotify Premium,-9.99
2026-02-22,Salle de Sport Fitness,-39.90
2026-02-25,Orange Forfait Mobile,-19.99
2026-02-26,Fnac Livre,-22.50
2026-02-28,Frais Bancaires CIC,-5.00
2026-03-01,Virement Salaire Entreprise XYZ,3200.00
2026-03-03,Loyer Mars,-900.00
2026-03-05,Lidl Courses,-61.80
2026-03-07,Total Essence,-65.00
2026-03-09,Netflix Abonnement,-15.99
2026-03-11,Carrefour Market,-94.20
2026-03-13,Pharmacie Centrale,-32.00
2026-03-15,Spotify Premium,-9.99
2026-03-17,Uber Eats Livraison,-19.50
2026-03-19,Amazon Commande,-45.00
2026-03-21,EDF Electricite,-70.00
2026-03-23,RATP Navigo Mensuel,-86.40
2026-03-25,Remboursement Secu,38.00
2026-03-27,Restaurant Brasserie,-38.00
2026-03-28,Frais Bancaires CIC,-5.00
2026-04-01,Virement Salaire Entreprise XYZ,3200.00
2026-04-02,Loyer Avril,-900.00
2026-04-04,Leclerc Supermarche,-103.60
2026-04-06,RATP Navigo Mensuel,-86.40
2026-04-08,Netflix Abonnement,-15.99
2026-04-10,Restaurant Japonais,-55.00
2026-04-12,Spotify Premium,-9.99
2026-04-14,Monoprix Courses,-78.90
2026-04-16,Ikea Maison,-145.00
2026-04-18,EDF Electricite,-68.00
2026-04-20,Salle de Sport Fitness,-39.90
2026-04-22,Orange Forfait Mobile,-19.99
2026-04-24,Pharmacie Centrale,-14.00
2026-04-26,Blablacar Covoiturage,-22.00
2026-04-28,Amazon Commande,-89.50
2026-04-29,Frais Bancaires CIC,-5.00
2026-05-01,Virement Salaire Entreprise XYZ,3200.00
2026-05-02,Loyer Mai,-900.00
2026-05-03,Carrefour Market,-95.40
2026-05-05,RATP Navigo Mensuel,-86.40
2026-05-06,Netflix Abonnement,-15.99
2026-05-07,Restaurant Brasserie du Port,-48.00
2026-05-08,Spotify Premium,-9.99
2026-05-09,Lidl Courses,-62.30
2026-05-10,EDF Electricite,-65.00
2026-05-11,Orange Forfait Mobile,-19.99
2026-05-12,Pharmacie Centrale,-27.50
2026-05-13,Uber Eats Livraison,-31.00
2026-05-14,Amazon Commande,-112.00
2026-05-15,Salle de Sport Fitness,-39.90
2026-05-17,SNCF Billet,-38.00
2026-05-18,Monoprix Supermarche,-88.70
2026-05-19,Remboursement Mutuelle,45.00
2026-05-20,Decathlon Velo,-199.00
2026-05-21,Restaurant Sushi,-67.00
2026-05-22,Zara Vetements,-85.00
2026-05-23,Fnac Ecouteurs,-79.00
2026-05-24,Boulangerie du Coin,-15.50
2026-05-25,Total Essence,-71.00
2026-05-26,Cinema Gaumont,-13.50
2026-05-27,Carrefour Market,-54.80
2026-05-28,Frais Bancaires CIC,-5.00
2026-05-30,Freelance Mission Client,800.00
